[2016-08-24 01:11:28] defaultLogger.ERROR: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'dfgj' for key 'PRIMARY' [] []
[2016-08-24 01:25:44] defaultLogger.INFO: INSERT INTO usuario (idusuario, password, nombre, apellidos, avatar) VALUES ('frende5', 'rueda', 'alejandro', 'frende5557111', 'http://viajesengrupo.esy.es/service/script.php?username=dghj&nombre=ghk&apellido=hgfjk&password=dgfhk&email=alexruedaromero94@hotmail.com&cars=Fiat&terms=on') [] []
[2016-08-24 10:22:56] defaultLogger.ERROR: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'frende5' for key 'PRIMARY' [] []
[2016-08-24 10:23:04] defaultLogger.ERROR: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'frende5' for key 'PRIMARY' [] []
[2016-08-24 10:23:17] defaultLogger.INFO: INSERT INTO usuario (idusuario, password, nombre, apellidos, avatar) VALUES ('frende55', 'dsfh', 'dsfg', 'sdfh', 'http://viajesengrupo.esy.es/service/script.php?username=dghj&nombre=ghk&apellido=hgfjk&password=dgfhk&email=alexruedaromero94@hotmail.com&cars=Fiat&terms=on') [] []
[2016-08-24 10:28:57] defaultLogger.ERROR: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'frende5' for key 'PRIMARY' [] []
[2016-08-24 10:28:59] defaultLogger.ERROR: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'frende5' for key 'PRIMARY' [] []
[2016-08-24 10:34:02] defaultLogger.ERROR: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'frende5' for key 'PRIMARY' [] []
[2016-08-24 10:34:14] defaultLogger.ERROR: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'frende5' for key 'PRIMARY' [] []
[2016-08-25 15:13:05] defaultLogger.INFO: INSERT INTO usuario (idusuario, password, nombre, apellidos, avatar) VALUES ('alex', '5557111', 'alejandro', 'rueda', 'http://viajesengrupo.esy.es/service/script.php?username=dghj&nombre=ghk&apellido=hgfjk&password=dgfhk&email=alexruedaromero94@hotmail.com&cars=Fiat&terms=on') [] []
[2016-08-25 16:11:27] defaultLogger.INFO: INSERT INTO usuario (idusuario, password, nombre, apellidos, avatar) VALUES ('prueba', 'sfgj', 'sh', 'fsgj', 'http://viajesengrupo.esy.es/service/script.php?username=dghj&nombre=ghk&apellido=hgfjk&password=dgfhk&email=alexruedaromero94@hotmail.com&cars=Fiat&terms=on') [] []
[2016-08-25 16:11:52] defaultLogger.ERROR: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'prueba' for key 'PRIMARY' [] []
[2016-08-25 16:12:04] defaultLogger.ERROR: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'prueba' for key 'PRIMARY' [] []
[2016-08-25 16:12:18] defaultLogger.ERROR: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'prueba' for key 'PRIMARY' [] []
[2016-08-25 16:40:01] defaultLogger.INFO: SELECT idusuario, password, nombre, apellidos, avatar FROM usuario WHERE idusuario = 'alex' [] []
[2016-08-25 17:16:08] defaultLogger.INFO: SELECT usuario.idusuario, usuario.password, usuario.nombre, usuario.apellidos, usuario.avatar FROM usuario WHERE usuario.idusuario='alex' AND usuario.password='5557111' [] []
[2016-08-25 17:16:28] defaultLogger.INFO: SELECT usuario.idusuario, usuario.password, usuario.nombre, usuario.apellidos, usuario.avatar FROM usuario WHERE usuario.idusuario='alex' AND usuario.password='5557111' [] []
[2016-08-25 18:16:26] defaultLogger.INFO: SELECT usuario.idusuario, usuario.password, usuario.nombre, usuario.apellidos, usuario.avatar FROM usuario WHERE usuario.idusuario='alex' AND usuario.password='5557111' [] []
[2016-08-25 18:17:52] defaultLogger.INFO: SELECT usuario.idusuario, usuario.password, usuario.nombre, usuario.apellidos, usuario.avatar FROM usuario WHERE usuario.idusuario='alex' AND usuario.password='5557111' [] []
[2016-08-25 18:19:11] defaultLogger.INFO: SELECT usuario.idusuario, usuario.password, usuario.nombre, usuario.apellidos, usuario.avatar FROM usuario WHERE usuario.idusuario='alex' AND usuario.password='5557111' [] []
[2016-08-25 18:20:04] defaultLogger.INFO: SELECT usuario.idusuario, usuario.password, usuario.nombre, usuario.apellidos, usuario.avatar FROM usuario WHERE usuario.idusuario='alex' AND usuario.password='5557111' [] []
[2016-08-25 18:21:12] defaultLogger.INFO: SELECT usuario.idusuario, usuario.password, usuario.nombre, usuario.apellidos, usuario.avatar FROM usuario WHERE usuario.idusuario='alex' AND usuario.password='5557111' [] []
[2016-08-25 22:09:46] defaultLogger.INFO: SELECT usuario.idusuario, usuario.password, usuario.nombre, usuario.apellidos, usuario.avatar FROM usuario WHERE usuario.idusuario='alex' AND usuario.password='5557111' [] []
[2016-08-25 22:11:10] defaultLogger.INFO: SELECT usuario.idusuario, usuario.password, usuario.nombre, usuario.apellidos, usuario.avatar FROM usuario WHERE usuario.idusuario='alex' AND usuario.password='5557111' [] []
[2016-08-25 22:15:19] defaultLogger.INFO: SELECT usuario.idusuario, usuario.password, usuario.nombre, usuario.apellidos, usuario.avatar FROM usuario WHERE usuario.idusuario='alex' AND usuario.password='5557111' [] []
[2016-08-25 22:16:25] defaultLogger.INFO: SELECT usuario.idusuario, usuario.password, usuario.nombre, usuario.apellidos, usuario.avatar FROM usuario WHERE usuario.idusuario='alex' AND usuario.password='5557111' [] []
[2016-08-25 22:17:02] defaultLogger.INFO: SELECT usuario.idusuario, usuario.password, usuario.nombre, usuario.apellidos, usuario.avatar FROM usuario WHERE usuario.idusuario='alex' AND usuario.password='5557111' [] []
[2016-08-25 22:18:35] defaultLogger.INFO: SELECT usuario.idusuario, usuario.password, usuario.nombre, usuario.apellidos, usuario.avatar FROM usuario WHERE usuario.idusuario='alex' AND usuario.password='5557111' [] []
[2016-08-25 22:19:43] defaultLogger.INFO: SELECT usuario.idusuario, usuario.password, usuario.nombre, usuario.apellidos, usuario.avatar FROM usuario WHERE usuario.idusuario='alex' AND usuario.password='555711' [] []
[2016-08-25 22:19:45] defaultLogger.INFO: SELECT usuario.idusuario, usuario.password, usuario.nombre, usuario.apellidos, usuario.avatar FROM usuario WHERE usuario.idusuario='alex' AND usuario.password='5557111' [] []
[2016-08-25 22:38:53] defaultLogger.INFO: SELECT usuario.idusuario, usuario.password, usuario.nombre, usuario.apellidos, usuario.avatar FROM usuario WHERE usuario.idusuario='alex' AND usuario.password='5557111' [] []
[2016-08-25 22:39:44] defaultLogger.INFO: SELECT usuario.idusuario, usuario.password, usuario.nombre, usuario.apellidos, usuario.avatar FROM usuario WHERE usuario.idusuario='alex' AND usuario.password='5557111' [] []
